net,length_um
_0373_,10.32µm
_0018_,10.24µm
_0069_,10.15µm
net174,10.08µm
_0425_,10.04µm
_0484_,10.04µm
_0490_,10µm
_0282_,9.98µm
mem1.trellis_diagr\[21\]\[1\],9.965µm
_0536_,9.96µm
_0575_,9.96µm
_0587_,9.94µm
net15,9.94µm
mem1.trellis_diagr\[6\]\[1\],9.915µm
_0376_,9.88µm
_0581_,9.86µm
net123,9.86µm
_0146_,9.79µm
_0226_,9.78µm
mem1.trellis_diagr\[19\]\[0\],9.78µm
net79,9.78µm
net111,9.74µm
br1.data_reg\[5\],9.645µm
mem1.trellis_diagr\[14\]\[1\],9.625µm
_0321_,9.62µm
_0403_,9.58µm
net20,9.54µm
net156,9.5µm
_0511_,9.495µm
_0260_,9.48µm
_0544_,9.48µm
_0133_,9.47µm
_0450_,9.445µm
_0184_,9.44µm
_0266_,9.44µm
_0276_,9.44µm
br1.data_reg\[2\],9.44µm
_0557_,9.42µm
_0390_,9.36µm
_0153_,9.33µm
_0471_,9.26µm
_0543_,9.26µm
net84,9.2µm
_0264_,9.18µm
_0317_,9.04µm
br1.data_reg\[4\],9.025µm
_0411_,8.98µm
mem1.count\[3\],8.95µm
_0372_,8.9µm
_0463_,8.9µm
_0503_,8.78µm
mem1.trellis_diagr\[23\]\[1\],8.775µm
_0041_,8.75µm
_0162_,8.75µm
_0096_,8.74µm
_0501_,8.74µm
_0245_,8.7µm
_0021_,8.64µm
_0198_,8.62µm
_0279_,8.62µm
_0283_,8.62µm
_0510_,8.62µm
tbck1.select_node\[0\],8.59µm
mem1.trellis_diagr\[3\]\[1\],8.58µm
_0003_,8.56µm
_0485_,8.54µm
_0529_,8.5µm
_0346_,8.48µm
_0216_,8.44µm
tbck1.sel_bit_out\[5\],8.44µm
net135,8.44µm
_0144_,8.43µm
_0370_,8.4µm
_0208_,8.38µm
_0029_,8.29µm
_0157_,8.29µm
br1.data_reg\[13\],8.285µm
_0151_,8.28µm
_0199_,8.28µm
_0160_,8.26µm
_0242_,8.26µm
_0068_,8.18µm
_0156_,8.18µm
_0231_,8.18µm
mem1.trellis_diagr\[5\]\[0\],8.18µm
_0278_,8.16µm
_0383_,8.16µm
_0486_,8.12µm
_0592_,8.1µm
_0415_,8.06µm
_0573_,8.06µm
_0200_,8.025µm
_0395_,8.02µm
mem1.trellis_diagr\[22\]\[1\],8.02µm
_0340_,7.98µm
net152,7.98µm
bck_prv_st_11\[0\],7.96µm
_0138_,7.94µm
net162,7.92µm
_0078_,7.91µm
_0012_,7.9µm
_0147_,7.9µm
_0387_,7.9µm
mem1.trellis_diagr\[17\]\[1\],7.9µm
_0277_,7.885µm
_0058_,7.87µm
_0164_,7.86µm
_0062_,7.82µm
_0174_,7.82µm
_0221_,7.82µm
_0121_,7.78µm
_0254_,7.72µm
net90,7.72µm
_0547_,7.7µm
data[9],7.69µm
_0251_,7.68µm
net103,7.68µm
_0040_,7.61µm
_0224_,7.6µm
_0591_,7.6µm
tbck1.sel_bit_out\[6\],7.6µm
data_out[7],7.45µm
_0472_,7.44µm
net113,7.42µm
_0362_,7.4µm
net102,7.4µm
_0194_,7.385µm
net164,7.36µm
data[11],7.33µm
_0267_,7.3µm
net2,7.3µm
c1.state\[2\],7.28µm
_0063_,7.27µm
_0148_,7.26µm
_0294_,7.26µm
_0186_,7.22µm
_0588_,7.22µm
_0344_,7.2µm
_0481_,7.2µm
_0538_,7.2µm
_0225_,7.18µm
_0232_,7.18µm
_0492_,7.18µm
net6,7.14µm
_0142_,7.13µm
data_out[6],7.11µm
_0192_,7.1µm
_0289_,7.1µm
_0532_,7.06µm
mem1.trellis_diagr\[12\]\[0\],7.06µm
_0434_,7.04µm
_0023_,7.01µm
net146,6.96µm
_0458_,6.92µm
net78,6.9µm
_0141_,6.87µm
net26,6.82µm
_0131_,6.8µm
_0140_,6.8µm
rst,6.77µm
_0530_,6.76µm
net133,6.76µm
net167,6.76µm
_0065_,6.72µm
_0066_,6.72µm
_0574_,6.66µm
data[6],6.65µm
net129,6.64µm
mem1.trellis_diagr\[24\]\[0\],6.62µm
_0540_,6.6µm
_0514_,6.58µm
_0423_,6.52µm
mem1.trellis_diagr\[15\]\[0\],6.52µm
net151,6.46µm
net115,6.44µm
_0005_,6.42µm
net105,6.42µm
_0020_,6.41µm
_0339_,6.4µm
_0442_,6.4µm
_0265_,6.38µm
_0460_,6.36µm
_0035_,6.33µm
data[2],6.33µm
mem1.trellis_diagr\[4\]\[0\],6.32µm
_0031_,6.31µm
_0237_,6.3µm
_0417_,6.3µm
_0214_,6.26µm
_0268_,6.26µm
_0039_,6.25µm
_0431_,6.2µm
net116,6.18µm
net118,6.18µm
_0533_,6.14µm
net86,6.14µm
mem1.trellis_diagr\[16\]\[0\],6.06µm
mem1.trellis_diagr\[25\]\[0\],6.06µm
_0439_,6.025µm
_0016_,6.02µm
_0558_,5.98µm
net150,5.98µm
net155,5.98µm
data[0],5.97µm
data[1],5.97µm
_0233_,5.96µm
_0127_,5.91µm
_0175_,5.91µm
_0074_,5.89µm
_0464_,5.82µm
